Москва;62.128.100.131;U;msk;csn-msk-fe5-1.company.com;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Москва;62.128.100.132;U;msk;csn-msk-fe5-2.company.com;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Москва;62.128.100.157;FE6;msk;csn-msk-fe6-2.company.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Москва;62.128.100.159;FE6;msk;csn-msk-fe6-3.company.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Москва;62.128.100.161;FE6;msk;csn-msk-fe6-4.company.com;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Москва;62.128.100.163;FE6;msk;csn-msk-fe6-5.company.com;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Москва;62.128.100.35;FE;msk;csn-msk-fe-4.company.com;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;1;
Москва;62.128.100.37;FE;msk;csn-msk-fe-5.company.com;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;1;
Москва;62.128.100.39;FE;msk;csn-msk-fe-6.company.com;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;1;
Москва;62.128.100.41;FE;msk;csn-msk-fe-7.company.com;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;1;
Москва;62.128.100.43;FE;msk;csn-msk-fe-8.company.com;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;1;
Москва;62.128.100.59;RS;msk;rs-msk-fe-1.company.com;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Москва;62.128.100.61;RS;msk;rs-msk-fe-2.company.com;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Москва;62.128.100.77;IPM;msk;csn-msk-ipm-1.company.com;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Москва;62.128.100.84;FE;msk;csn-msk-fe-0.company.com;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
Москва;62.128.100.92;FE2;msk;csn-msk-fe2-1.company.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Москва;62.128.100.93;FE2;msk;csn-msk-fe2-2.company.com;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Москва;62.128.100.94;FE2;msk;csn-msk-fe2-3.company.com;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Москва;62.128.100.95;FE2;msk;csn-msk-fe2-4.company.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Москва;62.128.100.96;FE2;msk;csn-msk-fe2-5.company.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Москва;62.128.100.97;FE2;msk;csn-msk-fe2-6.company.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Франкфурт;81.19.104.102;U;fft;csn-fft-fe4-8.company.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Франкфурт;81.19.104.105;U;fft;csn-fft-fe4-9.company.com;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
Франкфурт;81.19.104.108;U;fft;csn-fft-fe4-10.company.com;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
Франкфурт;81.19.104.111;U;fft;csn-fft-fe4-11.company.com;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
Франкфурт;81.19.104.114;U;fft;csn-fft-fe4-12.company.com;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
Франкфурт;81.19.104.117;U;fft;csn-fft-fe5-1.company.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
